32, 64, TB_RED, TB_BLUE
2, 2, 61, 29
+--------------------------------------------------------------+
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
|                              #                               |
+--------------------------------------------------------------+
configs:
3, 2, 3, 5, 3, 5, 16, 96
